,Date,cloud_cover,sunshine,global_radiation,maximum_temp,mean_temp,minimum_temp,precipitation,pressure,snow_depth,LCLid,KWH
27,28/01/2022,7,0.1,20,9.0,1.6,-3.0,0.0,102310,0,MAC000002,9.907
28,29/01/2022,8,0.4,25,11.4,6.0,3.0,0.2,101610,0,MAC000002,9.886
29,30/01/2022,6,4.2,55,10.1,7.6,3.9,5.0,100480,0,MAC000002,10.297
30,31/01/2022,7,0.7,29,8.5,8.2,6.2,3.3,98510,0,MAC000002,9.208
31,01/08/2022,5,6.1,205,21.6,18.6,14.1,0.0,100070,0,MAC000002,7.92
32,02/08/2022,5,5.3,192,20.0,17.8,14.0,1.0,100530,0,MAC000002,8.847
33,03/08/2022,6,4.2,174,21.6,17.0,14.0,3.0,101320,0,MAC000002,7.746
34,04/08/2022,6,7.2,219,22.5,17.9,14.2,0.0,102030,0,MAC000002,9.085
35,05/08/2022,6,9.7,251,24.8,17.0,11.4,0.0,101900,0,MAC000002,9.564
36,06/08/2022,6,5.5,192,23.1,19.2,13.6,0.2,101360,0,MAC000002,8.745
37,07/08/2022,7,3.2,153,20.1,19.6,16.1,0.0,100740,0,MAC000002,8.784
38,08/08/2022,6,2.7,144,20.1,15.7,11.3,11.0,101090,0,MAC000002,8.303
39,09/08/2022,6,3.3,154,20.0,16.6,13.0,3.1,100340,0,MAC000002,9.381
40,10/08/2022,6,5.5,188,23.6,15.0,9.9,0.3,101470,0,MAC000002,8.562
41,11/08/2022,6,5.5,187,25.0,19.3,15.0,0.9,101570,0,MAC000002,8.567
42,12/08/2022,6,1.5,116,21.5,20.6,16.3,0.0,101800,0,MAC000002,8.021
43,13/08/2022,8,0.2,79,20.4,19.2,16.9,1.2,101450,0,MAC000002,7.709
44,14/08/2022,6,8.1,220,21.3,18.6,16.7,0.0,100190,0,MAC000002,9.252
45,15/08/2022,4,9.1,232,21.0,16.0,10.7,0.0,101210,0,MAC000002,10.068
46,16/08/2022,5,6.2,192,18.3,15.4,9.8,5.8,101370,0,MAC000002,9.098
47,17/08/2022,7,0.7,93,18.2,16.0,13.7,2.3,100550,0,MAC000002,8.702
48,18/08/2022,7,0.1,72,19.8,15.4,12.7,0.0,101440,0,MAC000002,8.464
49,19/08/2022,6,0.6,89,22.8,16.6,13.4,0.0,101680,0,MAC000002,8.498
50,20/08/2022,6,6.4,190,19.8,17.4,11.9,2.3,101820,0,MAC000002,8.225
51,21/08/2022,5,9.9,233,19.6,16.6,13.4,0.2,101480,0,MAC000002,9.566
52,22/08/2022,4,8.1,210,16.1,14.8,10.0,0.0,101380,0,MAC000002,8.019
53,23/08/2022,4,5.4,173,16.9,12.4,8.8,2.1,100820,0,MAC000002,8.18
54,24/08/2022,6,2.7,130,18.3,13.3,9.7,0.0,100940,0,MAC000002,8.955
55,25/08/2022,6,2.5,126,18.7,13.2,8.0,0.0,101080,0,MAC000002,8.91
56,26/08/2022,5,7.4,196,17.4,14.6,10.5,0.0,101520,0,MAC000002,8.058
57,27/08/2022,4,8.3,205,21.8,13.4,9.4,0.0,102080,0,MAC000002,10.4
58,28/08/2022,0,12.5,251,23.9,13.8,5.7,0.0,102530,0,MAC000002,7.937
59,29/08/2022,4,12.0,244,26.0,16.4,9.0,0.0,102560,0,MAC000002,9.9
60,30/08/2022,3,10.6,227,23.1,18.8,11.7,0.0,102090,0,MAC000002,8.046
61,31/08/2022,6,0.8,86,22.8,18.0,13.0,0.0,102000,0,MAC000002,8.538
